File Name,Description
0002_JPEG.rf.9d765b758e5ed27ef1b9cb67d6833d0f.jpg,Image showing a car with scratches on the rear bumper.
0003_JPEG.rf.a18501dff7a827b0a8044f40f935df0a.jpg,Image showing a car with a dent on the side panel.
0009_JPEG.rf.e79e0562b2912ab7f1d91018ae11a191.jpg,Image showing a car with a shattered rear windshield.
0013_JPEG.rf.a07a93bc8395acd4f4bdcec64d65d68c.jpg,Image showing a car with a large dent on the side door.
0015_JPEG.rf.935a23cc8c0678ae5cc51b0e4f99ccff.jpg,Image showing a car with a dent near the rear wheel.
0018_JPEG.rf.6869f7adf787a8b1956bc7a52831baaa.jpg,Image showing a car with a severely damaged rear windshield covered with plastic.
0019_JPEG.rf.8f6151c03872a14cef97f7c051cc815c.jpg,Image showing a car with a dent on the rear side door.
0022_JPEG.rf.c0612cf8a623b26fa7e121b762b8d2e4.jpg,Image showing an SUV with a broken rear windshield.
0023_JPEG.rf.cb3635d2c2f3daeceafc2b4afec64177.jpg,Image showing a car with a small dent on the side.
0025_JPEG.rf.eba2cc7529f823ab1d1d1aa6b2b72f8e.jpg,Image showing a car with scratches and dents on the rear bumper.
0028_JPEG.rf.eb6dbe1f8c0ab7004c03ffe0b1e2bcd7.jpg,"Image showing a car with damage to the rear light and bumper, marked with a red circle."
0029_JPEG.rf.0168e3902e8fa24da59e096591fe2b67.jpg,"Image showing a car with scratches near the rear wheel, with a person pointing at the damage."
0033_JPEG.rf.63245572694c0d2cb12a0d750ce68241.jpg,"Image showing a car with significant rear-end damage, including a broken tail light."
0034_JPEG.rf.a07f5f9ad426e9c4e1a0cb305aa56f5d.jpg,Image showing a car with scratches and minor dents near the rear wheel.
0035_JPEG.rf.d5793e7af4fdbfdf035e328c4bd8801a.jpg,Image showing a car with a shattered rear windshield and a person standing next to it.
0042_JPEG.rf.753acccbad69c29b582ea1324ba6f305.jpg,"Image showing a severely damaged car involved in a serious accident, with a destroyed rear end."
0044_JPEG.rf.beda0cbc62f3703f69d7114a95b2e512.jpg,Image showing a car with numerous bullet holes in the rear windshield.
0048_JPEG.rf.2e075671ca48e3f2489df434f4348cb1.jpg,"Image showing a car with a shattered side window, with glass pieces visible."
0053_JPEG.rf.e2e52a616c84edeb32dcaa277f1e3824.jpg,Image showing a car with rust and scratches near the rear wheel.
0054_JPEG.rf.e8ad78ee72c6e16b3bd9a4856e82d9c6.jpg,Image showing a car with a large dent and scratches on the rear side panel.
0028_JPEG.rf.eb6dbe1f8c0ab7004c03ffe0b1e2bcd7.jpg,Image showing a car with a damaged rear light and dented area circled.
0029_JPEG.rf.0168e3902e8fa24da59e096591fe2b67.jpg,Image showing a person pointing to scratches on the car near the wheel arch.
0033_JPEG.rf.63245572694c0d2cb12a0d750ce68241.jpg,Image showing a car with a heavily damaged rear end.
0034_JPEG.rf.a07f5f9ad426e9c4e1a0cb305aa56f5d.jpg,Image showing a car with scratches and minor damage near the rear wheel.
0035_JPEG.rf.d5793e7af4fdbfdf035e328c4bd8801a.jpg,Image showing a car with a shattered rear windshield covered in broken glass.
0042_JPEG.rf.753acccbad69c29b582ea1324ba6f305.jpg,Image showing a heavily damaged car after an accident.
0044_JPEG.rf.beda0cbc62f3703f69d7114a95b2e512.jpg,Image showing a car with multiple bullet holes in the rear windshield.
0048_JPEG.rf.2e075671ca48e3f2489df434f4348cb1.jpg,Image showing a car with a broken side window and shattered glass.
0053_JPEG.rf.e2e52a616c84edeb32dcaa277f1e3824.jpg,Image showing a car with rust and scratches near the wheel arch.
0054_JPEG.rf.e8ad78ee72c6e16b3bd9a4856e82d9c6.jpg,Image showing a car with a severely dented rear corner.
0055_JPEG.rf.7df50d670355226211f44f11817a5d88.jpg,Image showing a car close to a bollard with minor scratches on the side.
0058_JPEG.rf.5e5cf3bc7377545dc35553aeba850a04.jpg,Image showing an SUV with a broken rear windshield and shattered glass on the road.
0059_JPEG.rf.74c2b101aa6d0d6e92d6754999591ee3.jpg,Image showing a pickup truck with significant damage and scratches on the side.
0064_JPEG.rf.bb3e7a5ab32a6109d086dca8cd3b29fe.jpg,Image showing a person pointing to a damaged front fender of a car.
0068_JPEG.rf.f6f31f5da31bbb39c2665947a936b676.jpg,Image showing a car with a large dent on the side door and a 'Jurassic Park' logo.
0069_JPEG.rf.ee8803672f54b003f766ffd7915eb87c.jpg,Image showing a car with severe front-side damage after an accident.
0072_JPEG.rf.fbd7c8b91214ff50b29b6dac29d44412.jpg,Image showing a car with minor scratches and a small dent on the rear bumper.
0074_JPEG.rf.a386449315daae084fdef3482aa8c28f.jpg,Image showing a car with multiple bullet holes in the rear windshield.
0078_JPEG.rf.5837ccf0a3db0076a8dcd1ec35332478.jpg,Image showing a car with a broken rear windshield and a reporter nearby.
0079_JPEG.rf.d06685879990fabd3b640bd3297a85a3.jpg,Image showing a red car with severe damage on the front fender and door.
0080_JPEG.rf.0eba8637ccdc3e9ce58048bd92d32f58.jpg,Image showing a police SUV with a damaged rear bumper.
0081_JPEG.rf.f25591f7a8944187e36f906ce54e2f6b.jpg,Image showing a car with a shattered rear windshield in front of a damaged house.
0087_JPEG.rf.3b90929b665cd60e75df6d315e1b5fac.jpg,Image showing a car with a heavily damaged rear end.
0090_JPEG.rf.e70fa0c0a716a2ce3fc29524a52654e3.jpg,Image showing a car with a shattered rear windshield and broken glass inside.
0096_JPEG.rf.efcabed24a4b168605231d70fcfa73bb.jpg,Image showing a car with a severely dented rear corner.
0097_JPEG.rf.29172ee3b44a6e3f5428103b6e74dec0.jpg,Image showing a car with significant damage to the rear side.
0101_JPEG.rf.194c918ff79886d90dff9df175db45fc.jpg,Image showing a car with multiple bullet holes in the rear windshield.
0106_JPEG.rf.32b866daa0c5f82555b8917d21f2cbcf.jpg,Image showing a car with bullet holes in the rear windshield and shattered glass.
0107_JPEG.rf.dc8558399e6955a52c8f39fcfb472bf8.jpg,Image showing a red sports car with severe damage to the rear.
0110_JPEG.rf.c2e75d115e880610e33b252b03d3f322.jpg,Image showing a car with a door slightly detached and bent outwards.
0111_JPEG.rf.9cbe2a702259a15f9dcff468bb70bb0e.jpg,Image showing a car with a significant dent on the rear side door.
0116_JPEG.rf.7fca4f80c556f5d00614be5746b2b2be.jpg,Image showing a car with a significant dent on the rear side door from a different angle.
0121_JPEG.rf.48a165634aacc51ffa19208fd9db8aab.jpg,Image showing a black car with scratches and damage on the side.
0126_JPEG.rf.aa1cab8ed0abcf16fb5d1eb8ac277b1e.jpg,Image showing a blue car with a dented front fender.
0127_jpeg.rf.58b4b333d2e442fb89ca52f1fbf2f6f1.jpg,Image showing a silver car with scratches and dents on the side.
0140_JPEG.rf.b63096c5004d62ce399789215224fb4b.jpg,Image showing a car with severe damage to the front side panel.
0141_JPEG.rf.d7a405bf753f1d352cb854ba65270ce5.jpg,Image showing a car with minor scratches and dents near the front wheel.
0146_JPEG.rf.1a96935972e957092fc1dce898807584.jpg,Image showing a small car with a dent on the side panel.
0147_JPEG.rf.1cbc03074d0e5bd3fcae48ce281d8484.jpg,Image showing a silver car with scratches and yellow marks on the side.
0151_JPEG.rf.83114818f71683781e3a54ed605ebd02.jpg,Image showing a red car with a large dent and damage to the side door.
0157_jpeg.rf.8f8c41baacb42803aed839da8e40daa8.jpg,Image showing a car with a large dent on the rear side door.
0160_JPEG.rf.76a0834e5ca8bbef0e1abd529c127f7f.jpg,Image showing a car with plastic and tape covering a broken window and a dented door.
0166_JPEG.rf.276d179275ef6e7165eff3aebad2adbb.jpg,Image showing a red car with significant front-end damage.
0167_JPEG.rf.6828c0c6f42a73868786f43bd76f802d.jpg,Image showing a green car with a damaged front bumper and headlight.
0170_JPEG.rf.b72f880609bcf68f6df06ecd307ff0d2.jpg,Image showing a silver car with the hood partially open and front-end damage.
0171_JPEG.rf.e28a616da1461185cf0c345e0a0a58c9.jpg,Image showing a black car with front-end damage and a broken bumper.
0176_JPEG.rf.23cf158a87c8c507765c79d30f8ef902.jpg,Image showing a red SUV with dents on the side and front-end damage.
0182_JPEG.rf.88ebdb4b38ad99dc25fe698e949fa11b.jpg,Image showing a black car with extensive front-end damage.
0183_JPEG.rf.097000ed2e27558d26d065395af86e67.jpg,Image showing a white car with severe front-end damage in a parking lot.
0184_jpeg.rf.23de1b42b57a58f2f1b591831176459b.jpg,Image showing an SUV with significant front-end damage.
0171_JPEG.rf.e28a616da1461185cf0c345e0a0a58c9.jpg,Image showing a black car with front-end damage and a broken bumper.
0176_JPEG.rf.23cf158a87c8c507765c79d30f8ef902.jpg,Image showing a red SUV with dents on the side and front-end damage.
0182_JPEG.rf.88ebdb4b38ad99dc25fe698e949fa11b.jpg,Image showing a black car with extensive front-end damage.
0183_JPEG.rf.097000ed2e27558d26d065395af86e67.jpg,Image showing a white car with severe front-end damage in a parking lot.
0184_jpeg.rf.23de1b42b57a58f2f1b591831176459b.jpg,Image showing an SUV with significant front-end damage.
0185_JPEG.rf.1294062607255e99ee52dcc49aa346d9.jpg,Image showing a heavily damaged car on the street with police investigation in progress.
0188_jpeg.rf.10113de55e4cf65c5b1d76a6cc3f31e3.jpg,Image showing a car with significant front-end damage.
0189_JPEG.rf.dacc042a307c24813bb65a0a3d0f56c9.jpg,Image showing a car with extensive front-end damage parked on a grassy area.
0192_JPEG.rf.4bdd4c6f631e6cd568d308407aea459c.jpg,Image showing a car with front-end damage in a repair shop.
0194_JPEG.rf.8fdf60c80e4862e2a8ac6236b80b2863.jpg,Image showing a car with front-end damage including a damaged grille and bumper.
0195_JPEG.rf.b571043001aa0e02b71d25219cf9f967.jpg,Image showing a car with front bumper damage in a repair shop.
0199_jpeg.rf.16934a4d57c7c7523b5f63c87142756b.jpg,Image showing a black car with front-end damage in a parking lot.
0204_JPEG.rf.a71e40d6043c5aedd852773b0b049e99.jpg,Image showing a car with front-end damage at night with police lights in the background.
0205_JPEG.rf.2634954636a0e14dcbb3286750065f06.jpg,Image showing a luxury sports car with severe front-end damage.
0212_JPEG.rf.ddfb22dfed1313ad3f7b4791d09c3c1f.jpg,Image showing a red car with extensive front-end damage.
0213_JPEG.rf.f79495dbd9320cd66f6d8638a96a5726.jpg,Image showing a black car with front-end damage parked on a grassy area.
0214_JPEG.rf.3dbeffb1b075a2b2f02a21b88b4e2346.jpg,Image showing a white car with significant front-end damage.
0215_JPEG.rf.ffcf7a929f18a4d2363f106f2e20b41b.jpg,Image showing a green car with front-end damage near the headlight.
0218_JPEG.rf.deddead248fd9afb5615d9a8d2bf7c1c.jpg,Image showing a black car with severe front-end damage after an accident.
0219_JPEG.rf.c70a5335e8d0654ad40a3238de8dafcf.jpg,Image showing a luxury sports car with extensive front-end damage in a parking lot.
0223_JPEG.rf.f38f3ada5b193d6f7ee9ea98e313010e.jpg,Image showing a car with extensive front-end damage in a parking lot.
0228_JPEG.rf.79b315f699d36612202ed8ae0fab357e.jpg,Image showing a car with severe front-end damage parked near a tree.
0232_JPEG.rf.7863fe180586e207618b35ecc4f20e60.jpg,Image showing a red car with a scratched front bumper and headlight damage.
0234_JPEG.rf.ecb28df2352ea7f3761c150a3ba240f1.jpg,Image showing a white car with significant front-end damage and exposed engine parts.
0235_JPEG.rf.006d3a78f1077396e0b1b7d85a516d56.jpg,Image showing a white car with extensive front-end damage and exposed engine parts from a different angle.
0238_JPEG.rf.81527367e5ce7055800fe19b3e89166e.jpg,Image showing a green SUV with severe front-end damage parked in a yard.
0239_JPEG.rf.228cf3e0c3fd3e08a75f382df1922e57.jpg,Image showing a silver car with front-end damage in a repair shop.
0242_JPEG.rf.ed4686d7b839c9d599c65e0e44fc939a.jpg,Image showing a white car with significant front-end damage on a busy road.
0243_JPEG.rf.41ed5ab44cded1c236795f5fcda962bb.jpg,Image showing a white SUV with front-end damage and Google logo on the side.
0244_JPEG.rf.2cf3b86e2b08a60f3ce97e257c0a0707.jpg,Image showing a black car with significant front-end damage.
0245_JPEG.rf.2616ae65a62c0609741e8cca17b692c5.jpg,A white car with severe front-end damage.
0249_JPEG.rf.acdae003200e920313b12f2cf3cabb87.jpg,A car parked on the street with extensive rear-end damage and a person sweeping debris.
0252_JPEG.rf.0f3845eeed079417b72d318710c98ddc.jpg,A green Honda car with front-end damage to the headlight and hood.
0258_JPEG.rf.77d4b1312a6879ce03f311a30a4bc837.jpg,A dark-colored car with front-end damage parked on the road.
0259_JPEG.rf.b88e14143ebf4ea4b8c0ba3a59b31187.jpg,A black car with severe front-end damage in a parking lot.
0262_JPEG.rf.8172f25542efc4e9232d8f29b0f1f6b1.jpg,A red car with significant front-end damage on the roadside with police and fire vehicles in the background.
0263_JPEG.rf.97b9d50368cf903f4f7abf35912e5423.jpg,A gray car with a dented front left fender and headlight.
0265_JPEG.rf.7c21c48b9406e314a09a6ea9d370114f.jpg,"A dark-colored car with severe front-end damage, possibly involved in a collision with a tree."
0268_JPEG.rf.546e559fe51b5ae1bd38b2b1b10fd238.jpg,A black car with a detached front bumper on the roadside.
0269_JPEG.rf.b7b16c0dad2b61af7323b9c2b753fcea.jpg,A white car with a dented front right fender and headlight.
0273_JPEG.rf.b52c4062420f2de3650d343d6b67157c.jpg,A silver car with severe front-end damage parked in a lot.
0274_JPEG.rf.e5eae5c9f21efb7cb1e94061de6a2902.jpg,A red car with front-end damage crashed into a brick building.
0278_JPEG.rf.e52fb23f3f007b339edd75a0f64efea2.jpg,A blue car with a crushed front-end after an accident.
0279_JPEG.rf.36e3368176259c05d6cb7f0e1434febb.jpg,"A white Range Rover with slight damage, parked in a lot."
0281_JPEG.rf.89f5a2d3c077156e0f37761f2c26d672.jpg,A white car with major front-end damage after a collision on a highway.
0286_JPEG.rf.0d793eae7e24cb4eb90acb013ffada2f.jpg,A white car with a dented front bumper after a minor accident.
0287_JPEG.rf.3e38f9155fba8b22eb08bf8a438056cb.jpg,A car with extensive front-end damage after a severe collision.
0291_JPEG.rf.7a19be7a5a4494aad1dc4793fd350134.jpg,A red car with a minor dent on the front fender.
0296_JPEG.rf.aad9b3de4b8cfe545d5e14d1c441696c.jpg,"A black car with a damaged front end, parked on a dirt road."
0301_JPEG.rf.3f09337b015bb4b50a72222236f12f6c.jpg,A white car with a damaged front bumper after a rear-end collision.
0306_JPEG.rf.7955b152a035a9954b7f083600e03d0b.jpg,A black car with the front and side heavily damaged in an accident.
0307_JPEG.rf.0f3a8e0275a0de94bb3da43275fdc66c.jpg,A black car with a crumpled hood after a front-end collision.
0310_JPEG.rf.18b8b936bcc6d72bf4eefeeeb74457a4.jpg,A silver car with extensive front-end damage after an accident.
0311_JPEG.rf.752f0bbc0e0e2f1d0daa6c15e8c53e3a.jpg,"A car that has crashed into a garage, causing severe damage to the vehicle and property."
0316_JPEG.rf.4fb0288d485b35247a818f452515a801.jpg,A blue sports car with significant front wheel and bumper damage.
0320_jpeg.rf.fe3f77313a0e5325c1e8d7ef2bea0423.jpg,A silver car with a damaged front bumper on the side of the road.
0326_JPEG.rf.0090e7eee8ecd12f89303f1e3551f5ef.jpg,A small silver car with the front end completely wrecked.
0327_JPEG.rf.ef7df4f5663f66de1f4b4c168908bfd2.jpg,A blue car with a heavily damaged front grille and hood.
0330_JPEG.rf.5fa1310722205cd043b8348088d0b6bf.jpg,A gray car with a dented front bumper and minor damage.
0336_JPEG.rf.05b5f8c358cada91f56cbbc995eb0c3d.jpg,A red car with major front-end damage after a collision at night.
0340_JPEG.rf.79fef22e1045803e2d4f2aecf469ce3d.jpg,A black car with severe front and side damage parked in front of an auto parts store.
0341_JPEG.rf.e2c63d6bc00d752665f2c01cf312d48d.jpg,A silver Mercedes-Benz with a dented front bumper and slight damage to the side.
0346_JPEG.rf.b93557c57835467e35b30be89dbe3094.jpg,"A white car with significant front-end damage, parked in a garage."
0347_JPEG.rf.41c40a0328f886de637bfc4ce310f2cb.jpg,Close-up of a damaged headlight and front corner of a car after an accident.
0357_JPEG.rf.bcc15e8141a51918e0a814e9403f3c38.jpg,A red car with major front-end damage after a collision on the street.
0361_JPEG.rf.bf749c2496abb11ac69591ac2e2967bb.jpg,"A white car with a large dent on the side door, parked on a street."
0366_JPEG.rf.a40e5d37d98e83da1424595ba26b1d2c.jpg,"A red car with severe front-end damage, parked in a scrapyard."
0367_JPEG.rf.f2f3464dd66c717a694d85fa1f8fddbc.jpg,A silver car with extensive damage to the front and side after an accident.
0370_JPEG.rf.7fd3d449e3b005e5787132752c72d3c4.jpg,"A silver car with a dented front bumper and minor damage, parked in a garage."
0371_JPEG.rf.027432ab765a8e0d24fcedb6f3ddede7.jpg,"A blue car with front-end damage, parked in a parking lot."